1;Что из нижеперечисленного не является ключевым словом java?;1;private;0
1;Что из нижеперечисленного не является ключевым словом java?;2;Boolean;1
1;Что из нижеперечисленного не является ключевым словом java?;3;void;0
1;Что из нижеперечисленного не является ключевым словом java?;4;private;0
2;Какой размер у переменной int?;1;8 bit;0
2;Какой размер у переменной int?;2;16 bit;0
2;Какой размер у переменной int?;3;32 bit;1
2;Какой размер у переменной int?;4;64 bit;0
3;Чему равно значение по умолчанию для переменной типа byte?;1;0;1
3;Чему равно значение по умолчанию для переменной типа byte?;2;0b;0
3;Чему равно значение по умолчанию для переменной типа byte?;3;null;0
3;Чему равно значение по умолчанию для переменной типа byte?;4;not defined;0
4;Что такое полиморфизм?;1;Полиморфизм это техника для определения разных объектов одного типа.;0
4;Что такое полиморфизм?;2;Полиморфизм это способность объекта принимать разные формы.;1
4;Что такое полиморфизм?;3;Полиморфизм это техника для определения различных методов одного типа.;0
4;Что такое полиморфизм?;4;Ничто из перечисленного.;0
5;Что такое локальная переменная?;1;Переменные определенные внутри методов, конструкторов или блоков называются локальными.;1
5;Что такое локальная переменная?;2;Переменные определенные вне методов, конструкторов или блоков называются локальными.;0
5;Что такое локальная переменная?;3;Статические переменные, определенные вне методов, конструкторов или блоков называются локальными.;0
5;Что такое локальная переменная?;4;Ничто из перечисленного.;0
